A,Mot
Capitalize,Viet hoa
Capitation,Ghi chu
Capitular,Dau hang
Capitulate,Dau hang
Capo,Cai dau
Capon,Capon
Cappuccino,Cappuccino
Caprice,Caprice
Capricious,Dung cam
Capricorn,Ma Ket
Capriole,Somersault
Capsicum,cay ot
Capsize,Capsize
Capstan,Capstan
Capsule,Vien con nhong
Capsulize,Capsulize
Capt.,Thuyen truong 
Captain,Doi truong
Caption,Dau de
Captious,Hao hang
Captivate,Captivate
Captive,Bi cam tu
Captor,Captor
Capture,Chiem lay
Capuchin,Capuchin
Capybara,Capybara
Car-boot,Cop xe
Car,Xe hoi
Caracul,Caracul
Carafe,Cafe
Caramel,Caramen
Carapace,Carapace
Carat,Carat
Caravan,Doan lu hanh
Caravanserai,Caravanserai
Caravel,caravel
Caraway,Cay caraway
Carb,Carb
Carbide,Cacbua
Carbine,Carbine
Carbohydrate,Carbohydrate
Carbolic,Carbolic
Carbon,Carbon
Carbonaceous,Co than
Carbonate,Cacbonat
Carbonic,Cacbonic
Carboniferous,La kim
Carbonize,Cacbon hoa
Carborundum,Carborundum
Carboy,Carboy
Carbuncle,Nhot doc
Carburettor,Bo che hoa khi
Carcass,Than thit
Carcinogen,Chat gay ung thu
Carcinoma,Ung thu bieu mo
Card-carrying,Mang theo the
Card-game,Choi bai
Card-sharp,Sac net
Card-table,Bang the
Card,The
Cardamom,Thao qua
Cardboard,Cac tong
Cardiac,Tim mach
Cardigan,Ao nit
Cardinal,Hong y
Cardiogram,Tim do
Cardiograph,Tim mach
Cardiology,Tim mach
Cardiovascular,Tim mach
Cardoon,Cardoon
Cardphone,Dien thoai the
Care,Quan tam
Careen,Careen
Career,Su nghiep
Careerist,Careerist
Carefree,Khong lo lang
Careful,Can than
Careless,Cau tha
Carer,Nguoi cham soc
Caress,Mon tron
Caret,Con mu
Caretaker,Giu nha
Careworn,Careworn
Cargo,Hang hoa
Carib,Carib
Caribbean,Ca ri be
Caribou,Tuan loc
Caricature,Biem hoa
Caries,Sau rang
Carillon,Carillon
Caring,Cham soc
Carioca,Tu Rio
Carmelite,Carmelite
Carminative,Carminative
Carmine,Thoa son
Carnage,Tan sat
Carnal,Carnal
Carnation,Hoa cam chuong
Carnelian,Carnelian
Carnet,So tay
Carnival,le hoi hoa trang
Carnivore,Dong vat an thit
Carnivorous,An thit
Carob,Carob
Carol,Carol
Carolingian,Carolingian
Carotene,Caroten
Carotid,Dong mach canh
Carouse,Say sua
Carousel,Bang chuyen
Carpal,Carpal
Carpel,Carpel
Carpenter,tho moc
Carpet-bag,Tui dung tham
Carpet-bagger,Tham trai san
Carpet-sweeper,Nguoi quet tham
Carpet,Tham
Carpeting,Tham trai san
Carport,Carport
Carpus,Ca chep
Carrageen,Carrageen
Carrel,Carrel
Carriage,Xe
Carriageway,Cach van chuyen
Carrier,Van chuyen
Carrion,Carrion
Carrot,Ca rot
Carry-out,Thuc hien
Carry,Mang
Carsick,Say xe
Cart-horse,Xe ngua
Cart-wright,Cart wright
Cart,Xe day
Carte,Ban do
Cartel,Thoa thuan canh tranh
Cartesian,Descartes
Carthusian,Carthusian
Cartilage,Sun
Cartography,Ban do hoc
Carton,Thung carton
Cartoon,Hoat hinh
Cartouche,Cartouche
Cartridge-belt,Day dai hop muc
Cartridge,Hop dan
Cartwheel,Cartwheel
Carve-up,Khac len
Carve,Khac cham
Carvel-built,Carvel xay dung
Carvel,Carvel
Carver,Tho khac
Carvery,Carvery
Carving,Cham khac
Casanova,Casanova
Cascade,Cascade
Cascara,Boc
Case-harden,Vo cung
Case-law,Ho so luat
Case,Truong hop
Casein,Casein
Casemate,Casemate
Casement,Casement
Casework,Casework
Cash-book,So quy
Cash,Tien mat
Cashcard,The rut tien
Cashew,Hat dieu
Cashmere,Cashmere
Cashpoint,Cashpoint
Casing,Vo boc
Casino,Song bac
Cask,Thung
Casket,Quan tai
Cassata,Cassata
Cassava,Khoai mi
Casserole,Soong
Cassette,Bang cassette
Cassia,trai ba dau
Cassis,Cassis
Cassock,Ao ca sa
Cassoulet,cassoulet
Cassowary,Cassowary
Cast-iron,Gang thep
Cast-off,Dien xuat
Cast,Dan dien vien
Castanet,Castanet
Castaway,Castaway
Caste,Dang cap
Casteism,Chu nghia dang cap
Castellated,Castellated
Caster,Binh luan vien
Castigate,thang
Casting,Vat duc
Castle,Lau dai
Castor,Thau dau
Castrate,Thien
Castrato,Thien
Casual,Binh thuong
Casualty,Thuong vong
Casuist,casuist
Cat's-eye,Mat meo
Cat's-paw,Chan meo
Cat's,Nhung con meo
Cat-and-dog,Meo va cho
Cat-o'-nine-tails,Cat o nine tail
Cat,Con meo
Cata-,Cata 
Catabolism,Di hoa
Catachresis,Catachresis
Cataclysm,Dai hong thuy
Catacomb,Ham mo
Catafalque,Catafalque
Catalan,Catalan
Catalepsy,Catalepsy
Catalog,Muc luc
Catalogue,Muc luc
Catalpa,Catalpa
Catalyse,Xuc tac
Catalysis,Xuc tac
Catalyst,Chat xuc tac
Catalytic,Xuc tac
Catalyze,Xuc tac
Catamaran,Catamaran
Catamite,Catamite
Catapult,May ban da
Cataract,Duc thuy tinh the
Catarrh,Catarrh
Catastrophe,Tha?m khoc
Catatonia,Catatonia
Catcall,Catcall
Catch-all,Bat het
Catch-as-catch-can,Catch as catch co the
Catch-phrase,Khau hieu
Catch,Chup lay
Catching,Bat
Catchline,Catchline
Catchment,Bat giu
Catchpenny,Catchpenny
Catchweight,Catchweight
Catchword,Tu khoa
Catchy,Lam say me
Catechism,Giao ly
Catechist,Giao ly vien
Catechize,Catechize
Catechumen,Catechumen
Categorical,Phan loai
Categorize,Phan loai
Category,Loai
Cater,Cater
Caterer,Nguoi phuc vu an uong
Caterpillar,Sau buom
Caterwaul,Caterwaul
Catfish,Ca meo
Catgut,Catgut
Catharsis,Catharsis
Cathartic,Cathartic
Cathedral,Thanh duong
Catherine,Catherine
Catheter,Ong thong
Cathode-ray,Tia cuc am
Cathode,Cuc am
Catholic,Cong giao
Cation,Cation
Catkin,Catkin
Catlick,Catlick
Catmint,Cay bac ha
Catnap,Catnap
Catnip,Catnip
Catsuit,Catsuit
Catsup,Catsup
Cattery,Pin
Cattle-grid,Luoi gia suc
Cattle,Gia suc
Catty,Catty
Catwalk,Catwalk
Caucasian,Nguoi da trang
Caucasoid,Caucasoid
Caucus,Caucus
Caudal,Duoi
Caudate,Caudate
Caught,Bat gap
Caul,Caul
Cauldron,Cai vac
Cauliflower,Sup lo trang
Caulk,Caulk
Causal,Nguyen nhan
Causality,Nhan qua
Causation,Nguyen nhan
Causative,Nguyen nhan
Cause,Gay ra
Causerie,Tro chuyen
Causeway,Causeway
Caustic,Caustic
Cauterize,Cauterize
Caution,Than trong
Cautionary,Than trong
Cautious,De dat
Cavalcade,Ky binh
Cavalier,Ung dung
Cavalry,ky si
Cave,Hang
Caveat,Canh bao truoc
Caveman,Nguoi Thuong co
Cavern,Cavern
Caviar,Trung ca muoi
Caviare,Caviare
Cavil,Cavil
Cavity,Lo
Cavort,Cavort
Cavy,Gon song
Caw,Ruou
Cayenne,Cayenne
Cayman,Cayman
CaÃ±on,CaA�on
Cb,Cb
Cbe,Cbe
Cbi,Cbi
Cc,Cc
Cd-rom,O DIA CD
Cd-video,Cd video
Cd,Dia CD
Cdt,Cdt
Ce,Day
Cease-fire,Ngung ban
Cease,Ngung
Ceaseless,Khong ngung
Cecum,Manh trang
Cedar,Tuyet tung
Cede,Nhuong lai
Cedilla,Cedilla
Ceefax,Ceefax
Ceilidh,Ceilidh
Ceiling,Tran nha
Celandine,Cay hoang nam
Celebrant,Chu te
Celebrate,Ki niem
Celebrity,Nguoi noi tieng
Celeriac,Cu can tay
Celerity,Celerity
Celery,Rau can tay
Celesta,Celesta
Celestial,Celestial
Celibate,Doc than
Cell,Te bao
Cellar,Ham
Cello,Dan Trung Ho cam
Cellophane,Giay bong kinh
Cellphone,Die?n thoa?i di do?ng
Cellular,Di dong
Cellulite,Cellulite
Celluloid,Celluloid
Cellulose,Xenlulo
Celsius,Do C
Celt,Celt
Celtic,Celtic
Cement,Xi mang
Cemetery,Nghia trang
Cenobite,Cenobite
Cenotaph,Cenotaph
Cenozoic,Kainozoi
Censer,Censer
Censor,Kiem duyet
Censorious,Censorious
Censure,Kiem duyet
Census,Dieu tra dan so
Cent,Cent
Centaur,Nhan ma
Centenarian,nguoi tram tuoi
Centenary,Centenary
Centennial,Mot tram nam
Center,Trung tam
Centerboard,Bang giua
Centerfold,Gap giua
Centesimal,thap phan
Centi-,Centi 
Centigrade,Centigrade
Centigram,Centigram
Centiliter,Centiliters
Centilitre,Centilitre
Centime,dong xu
Centimeter,Centimet
Centimetre,Centimet
Centipede,con ret
Central,Trung tam
Centralism,Chu nghia trung tam
Centralize,Tap trung
Centre-piece,Trung tam
Centre,Trung tam
Centreboard,Centreboard
Centrefold,Centrefold
Centric,Trung tam
Centrifugal,Ly tam
Centrifuge,May ly tam
Centripetal,Huong tam
Centrist,Trung tam
Centurion,Centurion
Century,The ky
Cephalic,Cephalic
Cephalopod,Cephalopod
Ceramic,Gom su
Ceramics,Gom su
Cereal,Ngu coc
Cerebellum,Tieu nao
Cerebral,Nao
Cerebration,Cerebration
Cerebrospinal,Nao tuy
Cerebrum,Cerebrum
Ceremonial,Nghi le
Ceremonious,Co nghi le
Ceremony,Le
Cerise,qua anh dao
Cerium,Xeri
Cern,Cern
Cert.,Cert 
Cert,Cert
Certain,Chac chan
Certainly,Chac chan
Certainty,Chac chan
Certifiable,Co the chung nhan
Certificate,Giay chung nhan
Certified,Duoc chung nhan
Certify,Chung nhan
Certitude,Chung chi
Cerulean,Cerulean
Cervical,Co tu cung
Cervix,Co tu cung
Cesarean,Mo lay thai
Cesium,Cesium
Cessation,Dinh chi
Cession,Cession
Cesspit,Cesspit
Cetacean,Cetacean
Cetane,Cetane
Cf.,Cf
Cf,Cf
Cfc,Cfc
Cfe,Cfe
Cg,Cg
Ch,Ch
Cha-cha,Cha cha
Chablis,Chablis
Chaconne,Chaconne
Chafe,Chafe
Chaff,Chaff
Chaffinch,Chaffinch
Chafing-dish,Chafing mon
Chagrin,Chagrin
Chain-gang,Bang dang chuoi
Chain-mail,Chuoi thu
Chain-saw,May cua
Chain-smoke,Khoi chuoi
Chain,Chuoi
Chair-lift,Ghe nang
Chair,Cai ghe
Chairman,Chu tich
Chairperson,Chu toa
Chaise,Chaise
Chalcedony,Chalcedony
Chalet,Nha go
Chalice,Chalice
Chalk,Phan
Challenge,Thach dau
Chalybeate,Chalybeate
Chamber-pot,Buong
Chamber,Buong
Chamberlain,Chamberlain
Chambermaid,Chambermaid
Chameleon,Con tac ke
Chamfer,Got canh xien
Chamois,Son duong
Chamomile,Hoa cuc
Champagne,Ruou sam banh
Champers,Champers
Champion,Quan quan
Championship,Chuc vo dich
Chance,Co hoi
Chancel,Chancel
Chancellery,Thu tuong
Chancellor,Thu tuong
Chancery,Chancery
Chancy,Chancy
Chandelier,Den treo
Chandler,Chandler
Change-over,Thay doi
Change,Bien doi
Changeable,Co the thay doi
Changeling,Changeling
Channel,Kenh truyen hinh
Chant,Tung kinh
Chanter,Hat
Chanticleer,Tho sua xe
Chantry,Chantry
Chaos,Su hon loan
Chaparral,Chaparral
Chapatti,Chapatti
Chapel,Nha nguyen
Chaperon,Nguoi di kem
Chaplain,Tuyen uy
Chaplet,Chaplet
Chapman,Chapman
Chappie,Chappie
Chapter,Chuong
Charabanc,Charbans
Character,Tinh cach
Characteristic,Dac tinh
Characterize,Dac diem hoa
Charade,Charade
Charcoal,than cui
Charge-capping,Gioi han phi
Charge,Sac pin
Charger,Bo sac
ChargÃ©,sac pin
Chariot,Xe ngua
Charioteer,Nguoi danh xe ngua
Charisma,Uy tin
Charitable,Tu thien
Charity,Tu thien
Charlady,Charlady
Charlatan,Lang bam
Charleston,Charleston
Charlotte,Charlotte
Charm,Quyen ru
Charming,Quyen ru
Charnel-house,Nha tho
Chart,Do thi
Charter,Dieu le
Chartered,Thue muon
Chartism,Su quyen ru
Chartreuse,Chartreuse
Charwoman,Charwoman
Chary,Su me hoac
Charybdis,Charybdis
Chaser,Chaser
Chasm,Hang sau
Chassis,Khung xe
Chaste,Chaste
Chasten,Chasten
Chastise,Bi trung phat
Chastity,Trinh tiet
Chasuble,Chasuble
Chat,Tro chuyen
Chatelaine,Chatelaine
Chatline,Chatline
Chattel,Chattel
Chatter,Noi nham
Chatterbox,Da ngon
Chatty,Tro chuyen
Chauffeur,Nguoi pha ca phe
Chauvinism,Chu nghia Chauvi
Chauvinist,Chauvinist
Cheap,Re
Cheapen,Gia re
Cheapjack,Cheapjack
Cheapskate,Gia re
Cheat,Lua dao
Check-in,Dang ky vao
Check-up,Kiem tra
Check,Kiem tra
Checked,Da kiem tra
Checkmate,Nguoi kiem tra
Checkout,Thu tuc thanh toan
Checkpoint,Tram kiem soat
Cheddar,Cheddar
Cheek-bone,Xuong ma
Cheek,Ma
Cheeky,Chanh choe
Cheep,Chim keu
Cheer-leader,Hoat nao vien
Cheer,Nang coc
Cheerful,Vui long
Cheerio,Cheerio
Cheerless,Vui ve
Cheery,Vui ve
Cheese-paring,Got pho mat
Cheese,Pho mai
Cheeseburger,Banh mi kep pho mai
Cheesecake,banh pho mat
Cheesecloth,Vai thua
Cheesed,Pho mat
Cheetah,con bao
Chef,Bep truong
Chelsea,Chelsea
Chemical,Hoa hoc
Chemise,Ao so mi
Chemist,Nha hoa hoc
Chemistry,Hoa hoc
Chemotherapy,Hoa tri lieu
Chenille,Chenille
Cheque-book,Kiem tra so sach
Cheque,Kiem tra
Chequer,kiem tra
Cherish,Tran trong
Cheroot,Cheroot
Cherry,qua anh dao
Cherub,Cherub
Chervil,Rau ngo ri
Cheshire,Cheshire
Chess,Co vua
Chessboard,Ban co
Chessman,Co vua
Chest,Nguc
Chesterfield,Chesterfield
Chestnut,hat de
Chesty,Vui ve
Cheval-glass,Kinh cheval
Chevalier,Chevalier
Chevron,Chevron
Chew,Nhai
Chewing-gum,Keo cao su
Chewy,Dai
Chez,Tai ngoi nha cua
Chi,Chi
Chianti,Chianti
Chiaroscuro,Chiaroscuro
Chic,Sang trong
Chicane,Chicane
Chicanery,Chicanery
Chick-pea,Chick pea
Chick,ga con
Chicken-feed,Thuc an cho ga
Chicken-wire,Day ga
Chicken,Ga
Chickenpox,Thuy dau
Chickweed,Chickweed
Chicle,Keo cao su
Chicory,Rau diep xoan
Chide,Chide
Chief,Truong phong
Chiefly,Chu yeu
Chieftain,Thu linh
Chiffchaff,Chiffchaff
Chiffon,Voan
Chignon,toc bui
Chihuahua,Chihuahua
Chilblain,Cuoc
Child's,Nhung dua tre
Child-minder,Khong con
Child,Dua tre
Childbirth,Sinh con
Childhood,Thoi tho au
Childish,Tre trau
Childlike,Ngay tho
Chili,Ot
Chill,Lam lanh
Chilli,Ot
Chilly,Se se lanh
Chiltern,Chiltern
Chime,Keu vang
Chimera,Chimera
Chimney-breast,Ong khoi vu
Chimney-pot,Ong khoi noi
Chimney-stack,Ong khoi ngan xep
Chimney-sweep,Nguoi cao ong khoi
Chimney,Ong khoi
Chimp,Tinh tinh
Chimpanzee,Tinh tinh
Chin-wag,Lac cam
Chin,Cai cam
China,Trung Quoc
Chinaman,Nguoi chinaman
Chinchilla,Chinchilla
Chine,Trung Quoc
Chinese,nguoi Trung Quoc
Chink,Chink
Chinless,Khong co cam
Chinoiserie,Chinoiserie
Chintz,Chintz
Chintzy,Chintzy
Chip,Chip
Chipboard,Giay bia cung
Chipmunk,Soc chuot
Chipolata,Danh bong
Chippendale,Chippendale
Chiro-,chiro 
Chiromancy,Chiromancy
Chiropody,Chiropody
Chiropractic,Nan khop xuong
Chirp,Tieng keu
Chirpy,Chirpy
Chirrup,Chirrup
Chisel,Duc deo
Chit-chat,Chit Chat
Chivalrous,Hao hiep
Chivalry,Tinh than hiep si
Chive,La thom
Chivvy,Chivvy
Chloral,Chloral
Chloride,Clorua
Chlorinate,Clorin
Chlorine,Clo
Chlorofluorocarbon,Chlorofluorocarbon
Chloroform,Cloroform
Chlorophyll,Chat diep luc
Choc-ice,choc ice
Choc,Soc
Chock-a-block,Chock a block
Chock-full,Chock day
Chock,Chock
Chocolate,So co la
Choice,Su lua chon
Choir,Hop xuong
Choirboy,Choirboy
Choke,Nghet tho
Choker,Choker
Cholecalciferol,Cholecalciferol
Choler,Co ao
Cholera,Benh ta
Choleric,Choleric
Cholesterol,Cholesterol
Chomp,Chomp
Choose,Chon
Choosy,Ken chon
Chopper,Dao ba?u
Choppy,Bap benh
Chopstick,Dua
Chopsuey,Chopsuey
Choral,Hop xuong
Chorale,Chorale
Chordate,Hop am
Chore,Chore
Choreograph,Bien dao
Choreography,Bien dao mua
Chorister,Chorister
Chortle,Chortle
Chorus,Diep khuc
Chose,Lua chon
Chosen,Su khoi dau cua chien tranh
Chough,Cho du
Choux,Choux
Chow,Chow
Christ,Dang Christ
Christen,Thien chua giao
Christendom,Christendom
Christian,Nguoi theo dao thien chua
Christianity,Co doc giao
Christmas-box,Hop qua Giang sinh
Christmas,Giang sinh
Chromatic,Sac
Chromatin,Chat nhiem sac
Chromatography,Sac ky
Chrome,Trinh duyet Chrome
Chromite,Chromite
Chromium,Chromium
Chromosome,Nhiem sac the
Chronic,Man tinh
Chronicle,ghi chep lai
Chronological,Theo nien dai
Chronology,Nien dai
Chronometer,Chronometer
Chrysalis,Chrysalis
Chrysanthemum,Hoa cuc
Chrysoberyl,Chrysoberyl
Chrysolite,Chrysolite
Chrysoprase,Chrysoprase
Chub,Chub
Chubb,Chubb
Chubby,Map map
Chuckle,Cuoi tham
Chuff,Chuff
Chuffed,Chuffed
Chug,Chug
Chukka,Chukka
Chukker,Chong mat
Chum,Chum
Chump,Loi lom
Chunk,Chunk
Chunky,Chunky
Chunter,churtar
Chupatty,Im lang
Church,Nha tho
Churchgoer,Nguoi di nha tho
Churchman,Nguoi nha tho
Churchwarden,Churchwarden
Churchyard,Nha tho
Churl,Dan que
Churlish,Churlish
Churn,Churn
Chutney,Tuong ot
Chutzpah,Chutzpah
Chyle,Di nao
Chyme,Nhu trap
ChÃ¢teau,ChA�teau
Cia,Cia
Ciao,Xin chao
Cicada,Ve sau
Cicatrice,Seo
Cicely,De thuong
Cicerone,Huong dan
Cid,Cid
Cider,ruou tao
Cigar,Dieu xi ga
Cigarette,Thuoc la
Cilium,Cilium
Cinch,Cinch
Cinchona,Cay canh ky na
Cincture,Huou cao co
Cinder,Cinder
Cinderella,Co be Lo Lem
Cine-,Ai 
Cinema,Rap chieu phim
Cinematography,Quay phim
Cineraria,Cineraria
Cinnabar,Cinnabar
Cinnamon,Que
Cinque,Nam
Cinquefoil,Cinquefoil
Cipher,Mat ma
Circa,Khoang
Circadian,Circadian
Circle,Vong tron
Circlet,Circlet
Circuit-breaker,Ngat mach
Circuit,Mach dien
Circuitous,Quanh co
Circuitry,Mach dien
Circular,Dang hinh tron
Circularize,Luu hanh
Circulate,Luu hanh
Circulation,Vong tuan hoan
Circulatory,Tuan hoan
Circum-,Vong tron 
Circumcise,Cat ngan
Circumference,Duong tron
Circumflex,Circumflex
Circumlocution,Su phan bo
Circumnavigate,di vong quanh
Circumscribe,Circumscribe
Circumspect,Than trong
Circumstance,Hoan canh
Circumstantial,Dang ke
Circumvent,pha vo
Circus,Rap xiec
Cirrhosis,Xo gan
Cirrus,Tua quan
Cisalpine,Cisalpine
Cissy,Cissy
Cistercian,Xito
Cistern,Be chua nuoc
Cistus,Cistus
Citadel,Thanh luy
Citation,Trich dan
Cite,Trich dan
Citizen's,Cong dan
Citizen,Nguoi dan
Citrate,Citrate
Citric,Citric
Citron,Citron
Citronella,Cay sa
Citrus,Cam quyt
City-state,Thanh bang
City,Thanh pho
Civet,Cay huong
Civic,Civic
Civics,Giao duc dan su
Civil,Dan dung
Civilian,Dan thuong
Civility,Su cong binh
Civilization,Nen van minh
Civilize,Van minh
Civvies,Civvies
Civvy,Civvy
Cl,Cl
Clack,Clack
Clad,Op
Cladding,Op
Cladistics,Cladistics
Claim,Yeu cau
Claimant,Nguoi yeu cau boi thuong
Clairvoyance,Kha nang thau thi
Clam,Yen tinh
Clamber,Leo thang
Clammy,Clammy
Clamor,Keu la
Clamour,Keu la
Clamp-down,Kiem soat chat che
Clan,Clan
Clandestine,Clandestine
Clang,Keu vang
Clanger,May moc
Clangor,Am thanh cua
Clangour,Clangour
Clank,Clank
Clannish,gia toc
Clansman,Clansman
Clapped,Vo tay
Clapper,Cai kep
Clapperboard,Clapperboard
Claptrap,Claptrap
Claque,Tat
Claret,Claret
Clarify,Lam ro
Clarinet,Clarinet
Clarion,Oang oang
Clarity,Trong treo
Clash,Su xung dot
Clasp-knife,Clasp dao
Clasp,Clasp
Class-conscious,Y thuc lop hoc
Class,Lop
Classic,Co dien
Classical,Co dien
Classicism,Chu nghia co dien
Classify,Phan loai
Classmate,Ban cung lop
Classroom,Lop hoc
Classy,Sang trong
Clatter,Keu vang
Clause,Menh de
Claustrophobia,Claustrophobia
Clavichord,Clavichord
Clavicle,Xuong quai xanh
Claw-hammer,Bua vuot
Claw,Cai vuot
Clay,Dat set
Claymore,Claymore
Clean-cut,Cat sach
Clean-shaven,Cao sach
Clean-up,Don dep
Clean,Lau don
Cleaner,Sach hon
Cleanse,Tay rua
Clear-cut,Ro rang
Clear-headed,Minh man
Clear-out,Tau thoat
Clear-sighted,Ro rang
Clear-up,Don sach
Clear,Xa la
Clearance,Giai toa
Clearing-house,Thanh toan bu tru
Clearing,Thanh toan bu tru
Clearway,Clearway
Cleat,Lam sach
Cleavage,Su phan cat
Cleaver,Cleaver
Clef,Clef
Cleft,Cleft
Clematis,Clematis
Clement,Clement
Clementine,Clementine
Clench,Clench
Clerestory,Clerestory
Clergy,Giao si
Clergyman,Giao si
Cleric,Giao si
Clerical,Thu ky
Clerihew,Clerihew
Clerk,Nhan vien van phong
Clever,Thong minh
ClichÃ©,ClichA �
Click,Nhap chuot
Client,Khach hang
Clientele,Khach hang
Cliff-hanger,Moc treo do
Cliff,Vach da
Climacteric,Climacteric
Climate,Khi hau
Climax,Cuc diem
Climb-down,Treo xuong
Climb,Treo
Climbing-frame,Khung choi leo treo cua tre em
Clime,Clime
Clinch,Clinch
Clincher,Clincher
Cling,Bam viu
Clinic,Phong kham
Clinical,Lam sang
Clinker-built,Clinker che tao
Clinker,Clinker
Clip-joint,Kep noi
Clip-on,Clip on
Clipboard,Bang tam
Clipper,Clipper
Clipping,Cat
Clique,Nhap chuot
Clitoris,Am vat
Cllr.,Cllr 
Cloak-and-dagger,Ao choang va dao gam
Cloak,Ao choang
Cloakroom,Tu giu do
Cloche,Chuong
Clockwise,Theo chieu kim dong ho
Clockwork,Kim dong ho
Clod,Clod
Cloddish,Cloddish
Clodhopper,Clodhopper
Clog,Clog
Cloister,Cloister
Clomp,Clomp
Clone,Dong vo tinh
Clonk,Clonk
Close-knit,Dan khit
Close-up,Can canh
Close,Dong
Closed-circuit,Mach kin
Closed,Da dong cua
Closet,Kho de do
Closure,Khep kin
Clot,Clot
Cloth,Vai
Clothe,Clothe
Clothes-horse,Gia phoi quan ao
Clothes-line,Day phoi quan ao
Clothes-peg,Kep quan ao
Clothes,Quan ao
Clothier,Nguoi lam kem
Clothing,Quan ao
Clotted,Co ranh
Cloud-cuckoo-land,May cuckoo dat
Cloud,Dam may
Cloudburst,Cloudburst
Cloudy,Nhieu may
Clout,Clout
Clove,Dinh huong
Cloven,Cloven
Clover,co ba la
Clown,Thang he
Cloy,Muu do
Club-foot,Cau lac bo chan
Club-root,Cau lac bo goc
Club,Cau lac bo
Clubbable,Clubbable
Clubhouse,Nha cau lac bo
Clubland,Clubland
Cluck,Cluck
Clue,Manh moi
Clueless,Khong biet gi
Clump,Von cuc
Clumsy,Hau dau
Clung,Bam chat
Clunk,Clunk
Cluster,Cum
Clutch,Ly hop
Clutter,Lon xon
Cm,Cm
Cmg,Cmg
Cnd,Cnd
Co-,Co 
Co-op,Hop tac
Co-opt,Hop tac
Co-respondent,Nguoi dong tra loi
Co-signatory,Dong ky ket
Co-worker,Dong nghiep
Co-write,Viet chung
Co.,Co 
Co,Co
Coach,Huan luyen vien
Coachload,Coachload
Coachman,Nguoi danh xe
Coachwork,Huan luyen vien
Coagulate,Dong tu
Coal-scuttle,Than Scuttle
Coal-tit,Than tit
Coal,Than da
Coalesce,Coalesce
Coalface,Mat than
Coalfield,Mo than
Coalition,Lien minh
Coalman,Nguoi than
Coalmine,Mo than
Coaming,Coaming
Coarse,Tho
Coarsen,Coarsen
Coast,Bo bien
Coaster,Coaster
Coastguard,Bao ve bo bien
Coastline,Duong bo bien
Coat-hanger,Moc ao
Coat-tail,Ao duoi tom
Coat,Ao choang ngoai
Coating,lop ao
Coax,Coax
Coaxial,Dong truc
Cob,Cob
Cobalt,Coban
Cobber,Cobber
Cobbler,Cobbler
Cobol,Cobol
Cobra,Ran ho mang
Cobweb,Mang nhen
Coca,Coca
Cocaine,Cocain
Coccyx,Xuong cut
Cochineal,Rep son
Cock-a-doodle-doo,Cock a doodle doo
Cock-a-hoop,Cock a hoop
Cock-a-leekie,Cock a leekie
Cock-and-bull,Cock and bull
Cock-eyed,Xien
Cock-fight,Choi ga
Cock-up,Cock up
Cock,Con ga trong
Cockade,Cockade
Cockatoo,Cockatoo
Cockchafer,Chim chich choe than
Cocker,Cocker
Cockerel,Ga trong
Cockle,Con ga trong
Cockney,Cockney
Cockpit,Buong lai
Cockroach,Con gian
Cockscomb,Cockscomb
Cocksure,Cocksure
Cocktail,Cocktail
Cocky,Tu man
Coco,Coco
Cocoa,Ca cao
Coconut,Dua
Cocoon,Cai ken
Cocotte,Soong
Cod-liver,Gan ca thu
Cod,Ca tuyet
Coda,Coda
Coddle,Nung niu
Code,Ma so
Codeine,Codeine
Codependency,Su phu thuoc vao ma
Codex,Codex
Codfish,Ca tuyet
Codger,Codger
Codicil,Codicil
Codify,Ma hoa
Codpiece,Codpiece
Codswallop,Codswallop
Coed,Coed
Coeducation,Coeducation
Coefficient,He so
Coelacanth,Coelacanth
Coelenterate,Coelenterate
Coeliac,Celiac
Coenobite,Coenobite
Coequal,Ngang nhau
Coerce,Ep buoc
Coeval,Coeval
Coexist,Cung ton tai
Coextensive,Dat tien
Coffee-mill,May xay ca phe
Coffee-table,Ban cafe
Coffee,Ca phe
Coffer-dam,Coffer dam
Coffer,Ruong
Coffin,Quan tai
Cog-wheel,Banh rang cua
Cog,Thuc vat
Cogent,Cogent
Cogitate,Nghi
Cognac,Ruou cognac
Cognate,Cognate
Cognition,Nhan thuc
Cognizance,Nhan thuc
Cognizant,Cognizant
Cognomen,Ten nick
Cognoscente,biet
Cohabit,Song thu
Cohere,Mach lac
Coherent,Mach lac
Cohesion,Su gan ket
Cohort,Doi quan
Coif,Coif
Coiff,Coiff
Coiffeur,Tho cat toc
Coiffure,Lam toc
Coil,Xon xao
Coin-box,Hop dung tien xu
Coin,Dong tien
Coinage,Tien duc
Coincide,Trung hop
Coincidence,Su trung hop
Coincidental,Tinh co
Coir,Xo dua
Coition,Dieu kien
Coitus,Coitus
Col-,Col 
Col.,Dai ta
Col,Col
Cola,Cola
Colander,Colander
Cold-blooded,Mau lanh
Cold-hearted,Vo cam
Cold,Lanh
Cole,Cole
Coleopteron,Coleopteron
Coleslaw,xa lach tron
Coleus,Coleus
Coley,Coley
Colic,Colic
Colitis,Viem ruot ket
Collaborate,Hop tac
Collage,Anh ghep
Collagen,Collagen
Collapse,Sup do
Collar-bone,Xuong quai xanh
Collar,Co ao
Collate,Doi chieu
Collateral,Tai san the chap
Collation,Doi chieu
Colleague,Dong nghiep
Collectable,Co the suu tam
Collection,Bo suu tap
Collective,Tap the
